start_date,end_date,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,global care,0,4,0,10
2024-05-01,2024-05-07,global care network,0,1,0,10
2024-05-08,2024-05-14,global care,0,9,0,11.333333333333334
2024-05-08,2024-05-14,globalcare,0,1,0,12
2024-05-15,2024-05-21,care mex,0,1,0,11
2024-05-15,2024-05-21,global care,0,9,0,10.333333333333334
2024-05-15,2024-05-21,global care cosmetics corporation,0,2,0,11
2024-05-22,2024-05-28,care mex,0,1,0,10
2024-05-22,2024-05-28,global care,0,8,0,9.875
2024-05-22,2024-05-28,global care services,0,1,0,14
2024-05-29,2024-06-04,global care,0,6,0,9.166666666666666
2024-05-29,2024-06-04,global care services,0,2,0,12
2024-05-29,2024-06-04,globalcare,0,2,0,10
2024-05-29,2024-06-04,previa dental works,0,1,0,91
2024-06-05,2024-06-11,global care,0,4,0,8.5
2024-06-12,2024-06-18,global care,0,6,0,9.333333333333334
2024-06-12,2024-06-18,globalcare,0,4,0,2
2024-06-19,2024-06-25,global care,0,4,0,10.25
2024-06-19,2024-06-25,globalcare,0,1,0,4
2024-06-26,2024-07-02,global care,0,8,0,10.875
2024-06-26,2024-07-02,globalcare,0,1,0,7
2024-07-03,2024-07-09,dental care mexico,0,1,0,10
2024-07-03,2024-07-09,global care,0,3,0,11
2024-07-03,2024-07-09,one destination clinic cancun,0,1,0,51
2024-07-10,2024-07-16,dental clinic puerto vallarta,0,1,0,59
2024-07-10,2024-07-16,global care,0,4,0,10
2024-07-10,2024-07-16,globalcare,0,3,0,4.333333333333334
2024-07-17,2024-07-23,global care,0,6,0,9.166666666666666
2024-07-17,2024-07-23,global care phone number,0,1,0,8
2024-07-17,2024-07-23,global dental care,0,2,0,13.5
2024-07-17,2024-07-23,globalcare,0,6,0,1.5
2024-07-17,2024-07-23,one destination clinic cancun,0,3,0,50.666666666666664
2024-07-24,2024-07-30,18007787879,0,1,0,7
2024-07-24,2024-07-30,dental care mexico,0,1,0,11
2024-07-24,2024-07-30,dentaris health group,0,1,0,12
2024-07-24,2024-07-30,global care,0,5,0,11.4
2024-07-24,2024-07-30,global dental care,0,1,0,13
2024-07-24,2024-07-30,global dental clinic,0,2,0,14.5
2024-07-31,2024-08-06,18007787879,0,2,0,3.5
2024-07-31,2024-08-06,get-who-cares.com,0,1,0,9
2024-07-31,2024-08-06,get-who-cares.com/,0,1,0,9
2024-07-31,2024-08-06,global care,0,1,0,3
2024-07-31,2024-08-06,global dental care,0,2,0,12.5
2024-07-31,2024-08-06,globalcare,0,2,0,5
2024-07-31,2024-08-06,one destination clinic cancun,0,1,0,48
2024-08-07,2024-08-13,dentaris health group,0,1,0,7
2024-08-07,2024-08-13,get mexico,0,1,0,8
2024-08-07,2024-08-13,get-who-cares.com,0,2,0,8.5
2024-08-07,2024-08-13,get-who-cares.com/,0,1,0,9
2024-08-07,2024-08-13,global care,0,9,0,7.888888888888889
2024-08-07,2024-08-13,global dental care,0,5,0,12.4
2024-08-07,2024-08-13,globalcare,0,1,0,8
2024-08-07,2024-08-13,one destination clinic cancun,0,2,0,49.5
2024-08-07,2024-08-13,smile venue dental reviews,0,1,0,11
2024-08-14,2024-08-20,18007787879,0,3,0,3.3333333333333335
2024-08-14,2024-08-20,american biodental center tijuana,0,1,0,87
2024-08-14,2024-08-20,dentaris health group,0,2,0,13.5
2024-08-14,2024-08-20,get-who-cares.com,0,2,0,7
2024-08-14,2024-08-20,get-who-cares.com/,0,1,0,10
2024-08-14,2024-08-20,globacare,0,1,0,11
2024-08-14,2024-08-20,global care,0,10,0,11.1
2024-08-14,2024-08-20,global dental care,0,3,0,13
2024-08-14,2024-08-20,global dentist,0,1,0,10
2024-08-14,2024-08-20,globalcare,0,2,0,5.5
2024-08-14,2024-08-20,my global dentist,0,1,0,5
2024-08-14,2024-08-20,one destination clinic,0,1,0,50
2024-08-14,2024-08-20,one destination clinic cancun,0,1,0,46
2024-08-21,2024-08-27,global care,0,7,0,12
2024-08-21,2024-08-27,global dental care,0,1,0,12
2024-08-21,2024-08-27,globle care,0,1,0,11
2024-08-21,2024-08-27,one destination clinic,0,1,0,68
2024-08-28,2024-09-03,care mexico,0,1,0,11
2024-08-28,2024-09-03,dental care mexico,0,2,0,10
2024-08-28,2024-09-03,english-speaking dentists in puerto vallarta,0,1,0,63
2024-08-28,2024-09-03,get-who-cares.com,0,1,0,9
2024-08-28,2024-09-03,global care,0,5,0,5.2
2024-08-28,2024-09-03,global dental care,0,1,0,11
2024-08-28,2024-09-03,one destination clinic cancun,0,2,0,37.5
2024-09-04,2024-09-10,dental care mexico,0,4,0,9.75
2024-09-04,2024-09-10,dental implants guadalajara mexico,0,2,0,49
2024-09-04,2024-09-10,english-speaking dentists in puerto vallarta,0,1,0,59
2024-09-04,2024-09-10,global care,0,7,0,5.857142857142857
2024-09-04,2024-09-10,global dental care,0,1,0,13
2024-09-04,2024-09-10,globalcare,0,4,0,3.25
2024-09-04,2024-09-10,guadalajara dental clinic,0,1,0,36
2024-09-04,2024-09-10,my global dentist,0,1,0,10
2024-09-04,2024-09-10,one destination clinic cancun,0,2,0,33.5
2024-09-11,2024-09-17,dental care in mexico,0,1,0,12
2024-09-11,2024-09-17,dental care mexico,0,1,0,13
2024-09-11,2024-09-17,english speaking dentist mexico city,0,8,0,11.125
2024-09-11,2024-09-17,get mexico,0,1,0,9
2024-09-11,2024-09-17,global care,0,10,0,6.8
2024-09-11,2024-09-17,global dental,0,1,0,11
2024-09-11,2024-09-17,globalcare,0,4,0,2.75
2024-09-11,2024-09-17,guadalajara dental clinic,0,3,0,44
2024-09-11,2024-09-17,one destination clinic cancun,0,1,0,34
2024-09-18,2024-09-24,all on 4 monterrey mexico,0,2,0,56
2024-09-18,2024-09-24,dental care mexico,0,2,0,12
2024-09-18,2024-09-24,global care,0,14,0,7.214285714285714
2024-09-18,2024-09-24,global dental care,0,4,0,9.75
2024-09-18,2024-09-24,globalcare,0,3,0,3.3333333333333335
2024-09-25,2024-10-01,18007787879,0,1,0,3
2024-09-25,2024-10-01,all on 4 monterrey mexico,0,2,0,53.5
2024-09-25,2024-10-01,dental care mexico,0,3,0,11.666666666666666
2024-09-25,2024-10-01,global care,0,7,0,6.428571428571429
2024-09-25,2024-10-01,global dental care,0,1,0,9
2024-09-25,2024-10-01,global dental center,0,1,0,11
2024-09-25,2024-10-01,globalcare,0,14,0,4.142857142857142
2024-09-25,2024-10-01,globle care,0,1,0,10
2024-09-25,2024-10-01,guadalajara dental implants,0,3,0,38.666666666666664
2024-09-25,2024-10-01,my global dentist,0,1,0,14
2024-10-02,2024-10-08,all on 4 monterrey mexico,0,2,0,63
2024-10-02,2024-10-08,dental care mexico,0,3,0,12.333333333333334
2024-10-02,2024-10-08,dental care today,0,1,0,4
2024-10-02,2024-10-08,globa care,0,1,0,4
2024-10-02,2024-10-08,global care,0,4,0,10.75
2024-10-02,2024-10-08,global dental care,0,1,0,9
2024-10-02,2024-10-08,globalcare,0,2,0,7
2024-10-02,2024-10-08,guadalajara dental implants,0,7,0,39.285714285714285
2024-10-02,2024-10-08,songco dental and medical clinic,0,1,0,3
